Id	Location	Type
02188	Dusnok	village
02189	Szeremle	village
02190	Bátmonostor	village
02191	Vaskút	village
02192	Nagybaracska	village
02193	Csátalja	village
02194	Gara	village
02195	Dávod	village
02196	Hercegszántó	village
02197	Bácsszentgyörgy	village
02198	Madaras	village
02199	Katymár	village
02200	Bácsborsód	village
02201	Bácsbokod	village
02202	Mátételke	village
02203	Kunbaja	village
02204	Csikéria	village
02205	Bácsszőlős	village
02206	Zsana	village
02207	Harkakötöny	village
02208	Csólyospálos	village
02209	Kömpöc	village
02210	Pálmonostora	village
02211	Petőfiszállás	village
02212	Jászszentlászló	village
02213	Szank	village
02214	Móricgát	village
02215	Gátér	village
02216	Bugac	village
02217	Bugacpusztaháza	village
02218	Fülöpjakab	village
02219	Kunszállás	village
02220	Jakabszállás	village
02221	Helvécia	village
02222	Ballószög	village
02223	Fülöpháza	village
02224	Ágasegyháza	village
02225	Orgovány	village
02226	Tiszaalpár	village
02227	Szentkirály	village
02228	Kunadacs	village
02229	Kunbaracs	village
02230	Kunpeszér	village
02231	Ladánybene	village
02232	Felsőlajos	village
02233	Bócsa	village
02234	Tázlár	village
02235	Nagytőke	village
02236	Fábiánsebestyén	village
02237	Eperjes	village
02238	Derekegyház	village
02239	Szegvár	village
02240	Csanytelek	village
02241	Felgyő	village
02242	Tömörkény	village
02243	Pusztaszer	village
02244	Baks	village
02245	Mártély	village
02246	Balástya	village
02247	Forráskút	village
02248	Üllés	village
02249	Bordány	village
02250	Szatymaz	village
02251	Zsombó	village
02252	Ferencszállás	village
02253	Zákányszék	village
02254	Maroslele	village
02255	Klárafalva	village
02256	Óföldeák	village
02257	Apátfalva	village
02258	Földeák	village
02259	Nagylak	village
02260	Magyarcsanád	village
02261	Csanádpalota	town
02262	Kövegy	village
02263	Pitvaros	village
02264	Királyhegyes	village
02265	Nagyér	village
02266	Ásotthalom	village
02267	Csanádalberti	village
02268	Ambrózfalva	village
02269	Pusztamérges	village
02270	Csengele	village
02271	Ruzsa	village
02272	Öttömös	village
02273	Dombegyház	village
02274	Kisdombegyház	village
02275	Magyardombegyház	village
02276	Dombiratos	village
02277	Kevermes	village
02278	Lőkösháza	village
02279	Nagykamarás	village
02280	Almáskamarás	village
02281	Magyarbánhegyes	village
02282	Végegyháza	village
02283	Kardoskút	village
02284	Kaszaper	village
02285	Pusztaföldvár	village
02286	Nagybánhegyes	village
02287	Medgyesegyháza	town
02288	Medgyesbodzás	village
02289	Pusztaottlaka	village
02290	Csabaszabadi	village
02291	Csanádapáca	village
02292	Gerendás	village
02293	Újkígyós	town
02294	Szabadkígyós	village
02295	Telekgerendás	village
02296	Kétsoprony	village
02297	Hunya	village
02298	Kamut	village
02299	Murony	village
02300	Kardos	village
02301	Örménykút	village
02302	Gádoros	village
02303	Halászlak	farm
02304	Csárdaszállás	village
02305	Köröstarcsa	village
02306	Bélmegyer	village
02307	Okány	village
02308	Tarhos	village
02309	Sarkadkeresztúr	village
02310	Doboz	village
02311	Kötegyán	village
02312	Újszalonta	village
02313	Méhkerék	village
02314	Mezőgyán	village
02315	Geszt	village
02316	Zsadány	village
02317	Körösújfalu	village
02318	Biharugra	village
02319	Körösnagyharsány	village
02320	Csabacsűd	village
02321	Ecsegfalva	village
02322	Kertészsziget	village
02323	Bucsa	village
02324	Almamellék	village
02325	Gyűrűfű	village
02326	Ároktő	village
02327	Tiszadorogma	village
02328	Tiszabábolna	village
02329	Tiszavalk	village
02330	Négyes	village
02331	Borsodivánka	village
02332	Egerlövő	village
02333	Szentistván	village
02334	Mezőnagymihály	village
02335	Gelej	village
02336	Mezőkeresztes	town
02337	Mezőnyárád	village
02338	Tiszakeszi	village
02339	Tiszatarján	village
02340	Hejőkürt	village
02341	Oszlár	village
02342	Tiszapalkonya	village
02343	Nemesbikk	village
02344	Hejőbába	village
02345	Hejőpapi	village
02346	Igrici	village
02347	Hejőszalonta	village
02348	Hejőkeresztúr	village
02349	Nagycsécs	village
02350	Szakáld	village
02351	Muhi	village
02352	Ónod	village
02353	Sajópetri	village
02354	Sajólád	village
02355	Kistokaj	village
02356	Bükkaranyos	village
02357	Harsány	village
02358	Borsodgeszt	village
02359	Vatta	village
02360	Bükkábrány	village
02361	Csincse	village
02362	Sály	village
02363	Kács	village
02364	Kisgyőr	village
02365	Bükkszentkereszt	village
02366	Répáshuta	village
02367	Bogács	village
02368	Taktakenéz	village
02369	Prügy	village
02370	Taktabáj	village
02371	Csobaj	village
02372	Tiszatardos	village
02373	Tiszaladány	village
02374	Taktaszada	village
02375	Bekecs	village
02376	Legyesbénye	village
02377	Mezőzombor	village
02378	Rátka	village
02379	Tállya	village
02380	Golop	village
02381	Monok	village
02382	Felsődobsza	village
02383	Hernádkércs	village
02384	Szentistvánbaksa	village
02385	Nagykinizs	village
02386	Kiskinizs	village
02387	Megyaszó	village
02388	Alsódobsza	village
02389	Sóstófalva	village
02390	Újcsanálos	village
02391	Gesztely	village
02392	Onga	town
02393	Arnót	village
02394	Sajópálfala	village
02395	Viss	village
02396	Sárazsadány	village
02397	Bodrogolaszi	village
02398	Györgytarló	village
02399	Vajdácska	village
02400	Alsóberecki	village
02401	Felsőberecki	village
02402	Karos	village
02403	Bodroghalom	village
02404	Tiszacsermely	village
02405	Karcsa	village
02406	Pácin	village
02407	Nagyrozvágy	village
02408	Kisrozvágy	village
02409	Semjén	village
02410	Lácacséke	village
02411	Ricse	village
02412	Révleányvár	village
02413	Dámóc	village
02414	Zemplénagárd	village
02415	Erdőbénye	village
02416	Sima	village
02417	Baskó	village
02418	Erdőhorváti	village
02419	Komlóska	village
02420	Háromhuta	village
02421	Hercegkút	village
02422	Makkoshotyka	village
02423	Vágáshuta	village
02424	Kovácsvágás	village
02425	Nagyhuta	village
02426	Kishuta	village
02427	Bózsva	village
02428	Füzérradvány	village
02429	Vilyvitány	village
02430	Mikóháza	village
02431	Alsóregmec	village
02432	Felsőregmec	village
02433	Nyíri	village
02434	Füzérkomlós	village
02435	Füzérkajata	village
02436	Pusztafalu	village
02437	Füzér	village
02438	Hollóháza	village
02439	Pányok	village
02440	Abaújvár	village
02441	Zsujta	village
02442	Tornyosnémeti	village
02443	Hidasnémeti	village
02444	Hernádszurdok	village
02445	Vizsoly	village
02446	Arka	village
02447	Abaújkér	village
02448	Abaújalpár	village
02449	Boldogkőújfalu	village
02450	Gibárt	village
02451	Bükkmogyorósd	village
02452	Csernely	village
02453	Lénárddaróc	village
02454	Sáta	village
02455	Nekézseny	village
02456	Mályinka	village
02457	Dédestapolcsány	village
02458	Uppony	village
02459	Borsodbóta	village
02460	Járdánháza	village
02461	Arló	village
02462	Farkaslyuk	village
02463	Borsodszentgyörgy	village
02464	Domaháza	village
02465	Kissikátor	village
02466	Hangony	village
02467	Sajómercse	village
02468	Királd	village
02469	Sajónémeti	village
02470	Sajópüspöki	village
02471	Bánréve	village
02472	Serényfalva	village
02473	Sajóvelezd	village
02474	Dubicsány	village
02475	Bánhorváti	village
02476	Nagybarca	village
02477	Varbó	village
02478	Parasznya	village
02479	Radostyán	village
02480	Kondó	village
02481	Sajólászlófalva	village
02482	Sajókápolna	village
02483	Berente	village
02484	Sajóivánka	village
02485	Vadna	village
02486	Sajókaza	village
02487	Sajógalgóc	village
02488	Sajóbábony	town
02489	Sajókeresztúr	village
02490	Sajóecseg	village
02491	Sajóvámos	village
02492	Sajósenye	village
02493	Boldva	village
02494	Aszaló	village
02495	Alsóvadász	village
02496	Homrogd	village
02497	Kázsmárk	village
02498	Monaj	village
02499	Halmaj	village
02500	Csobád	village
02501	Rásonysápberencs	village
02502	Detek	village
02503	Beret	village
02504	Baktakék	village
02505	Ináncs	village
02506	Hernádszentandrás	village
02507	Pere	village
02508	Hernádbűd	village
02509	Forró	village
02510	Méra	village
02511	Szalaszend	village
02512	Novajidrány	village
02513	Garadna	village
02514	Hernádvécse	village
02515	Fulókércs	village
02516	Fancsal	village
02517	Alsógagy	village
02518	Gagyapáti	village
02519	Selyeb	village
02520	Kupa	village
02521	Nyésta	village
02522	Felsővadász	village
02523	Tomor	village
02524	Hegymeg	village
02525	Ziliz	village
02526	Borsodszirák	village
02527	Nyomár	village
02528	Hangács	village
02529	Múcsony	village
02530	Szuhakálló	village
02531	Kurityán	village
02532	Felsőnyárád	village
02533	Jákfalva	village
02534	Dövény	village
02535	Felsőkelecsény	village
02536	Ormosbánya	village
02537	Izsófalva	village
02538	Rudolftelep	village
02539	Damak	village
02540	Balajt	village
02541	Ládbesenyő	village
02542	Szendrőlád	village
02543	Abod	village
02544	Galvács	village
02545	Szakácsi	village
02546	Irota	village
02547	Gadna	village
02548	Abaújlak	village
02549	Abaújszolnok	village
02550	Felsőgagy	village
02551	Csenyéte	village
02552	Gagyvendégi	village
02553	Gagybátor	village
02554	Rakaca	village
02555	Rakacaszend	village
02556	Meszes	village
02557	Szalonna	village
02558	Martonyi	village
02559	Alsótelekes	village
02560	Felsőtelekes	village
02561	Alsószuha	village
02562	Zádorfalva	village
02563	Kelemér	village
02564	Gömörszőlős	village
02565	Szuhafő	village
02566	Trizs	village
02567	Ragály	village
02568	Imola	village
02569	Kánó	village
02570	Égerszög	village
02571	Teresztenye	village
02572	Szőlősardó	village
02573	Varbóc	village
02574	Szinpetri	village
02575	Jósvafő	village
02576	Aggtelek	village
02577	Szin	village
02578	Szögliget	village
02579	Bódvarákó	village
02580	Bódvaszilas	village
02581	Komjáti	village
02582	Tornaszentandrás	village
02583	Tornabarakony	village
02584	Debréte	village
02585	Viszló	village
02586	Tornanádaska	village
02587	Bódvalenke	village
02588	Hidvégardó	village
02589	Becskeháza	village
02590	Tornaszentjakab	village
02591	Pamlény	village
02592	Szászfa	village
02593	Keresztéte	village
02594	Krasznokvajda	village
02595	Perecse	village
02596	Büttös	village
02597	Kány	village
02598	Litka	village
02599	Szemere	village
02600	Pusztaradvány	village
02601	Hernádpetri	village
02602	Szigetvár	town
02603	Keresztespuszta	hamlet
02604	Bános	hamlet
02605	Mecsekszakál	hamlet
02606	Tekeres	hamlet
02607	Becefa	suburb
02608	Zsibót	suburb
02609	Vigántpetend	village
02610	Lipótfa	hamlet
02611	Gálosfa	village
02612	Hajmás	village
02613	Pesthidegkút-Ófalu	suburb
02614	Nyék	suburb
02615	Gellérthegy	suburb
02616	Rózsadomb	suburb
02617	Zöldmál	suburb
02618	Törökvész	suburb
02619	Csatárka	suburb
02620	Pálvölgy	suburb
02621	Pasarét	suburb
02622	Lipótmező	suburb
02623	Kurucles	suburb
02624	Szépilona	suburb
02625	Kővár	suburb
02626	Gercse	suburb
02627	Petneházyrét	suburb
02628	Szépjuhászné	locality
02629	Vérhalom	suburb
02630	Rézmál	suburb
02631	Szemlőhegy	suburb
02632	Felhévíz	suburb
02633	Országút	suburb
02634	Kútvölgy	suburb
02635	Virányos	suburb
02636	Istenhegy	suburb
02637	Zugliget	suburb
02638	Hárshegy	suburb
02639	Normafa	locality
02640	Svábhegy	suburb
02641	Széchenyihegy	suburb
02642	Mártonhegy	suburb
02643	Orbánhegy	suburb
02644	Kissvábhegy	suburb
02645	Farkasrét	suburb
02646	Farkasvölgy	suburb
02647	Víziváros	suburb
02648	Ostffyasszonyfa	village
02649	Csönge	village
02650	Kenyeri	village
02651	Remeteszőlős	village
02652	Solymár	village
02653	Tabán	suburb
02654	Klastrompuszta	hamlet
02655	Kesztölc	village
02656	Csolnok	village
02657	Diósdliget	suburb
02658	Margitliget	hamlet
02659	Üdülőtelep	hamlet
02660	Dunafüred	suburb
02661	Ófalu	suburb
02662	Érdliget	suburb
02663	Tusculanum	suburb
02664	Parkváros	suburb
02665	Postástelep	suburb
02666	Újtelep	suburb
02667	Tisztviselőtelep	suburb
02668	Déli lakótelep	suburb
02669	Urbárium	suburb
02670	Újváros	suburb
02671	Berkipuszta	hamlet
02672	Mezőszemere	village
02673	Hajmáskér	village
02674	Gyulafirátót	suburb
02675	Nagyesztergár	village
02676	Dudar	village
02677	Szápár	village
02678	Bakonycsernye	village
02679	Csánig	village
02680	Nick	village
02681	Uraiújfalu	village
02682	Vámoscsalád	village
02683	Vasegerszeg	village
02684	Hegyfalu	village
02685	Zsédeny	village
02686	Jákfa	village
02687	Rábapaty	village
02688	Sótony	village
02689	Ikervár	village
02690	Nyőgér	village
02691	Bögöt	village
02692	Porpác	village
02693	Bejcgyertyános	village
02694	Csobánka	village
02695	Alžbetínsky ostrov	island
02696	Torbágy	suburb
02697	Máriamakk	suburb
02698	Nagyszénászug	suburb
02699	Frankhegy	suburb
02700	Budaörsi Kamaraerdő	suburb
02701	Törökugrató	suburb
02702	Csikidűlő	suburb
02703	Lakótelep	suburb
02704	Odvashegy	suburb
02705	Ófalu	suburb
02706	Ürgésdűlő	suburb
02707	Annahegy	suburb
02708	Tükörhegy	suburb
02709	Ófalu	suburb
02710	Újtelep	suburb
02711	MÁV-telep	suburb
02712	Tópark	suburb
02713	Rudáktelep	suburb
02714	Újliget	suburb
02715	Tompaládony	village
02716	Mesterháza	village
02717	Tóvárosi lakónegyed	suburb
02718	Prohászka	suburb
02719	Almássy telep	suburb
02720	Kadocsa	suburb
02721	Fecskepart	suburb
02722	Szedreskert	suburb
02723	Belváros	suburb
02724	Feketehegy	suburb
02725	Alsóváros	suburb
02726	Ősz utca	suburb
02727	Bajánsenye	village
02728	Kercaszomor	village
02729	Kerkáskápolna	village
02730	Magyarszombatfa	village
02731	Velemér	village
02732	Gödörháza	hamlet
02733	Parasza	hamlet
02734	Bakonytamási	village
02735	Pápateszér	village
02736	Bakonyszentiván	village
02737	Csót	village
02738	Ugod	village
02739	Bakonyszücs	village
02740	Antalmajor	hamlet
02741	Zalaszentmihályfa	hamlet
02742	Pózva	suburb
02743	Lentihegy	farm
02744	Rádiháza	hamlet
02745	Józsefváros	suburb
02746	Frühweiss	suburb
02747	Szabadságpuszta	farm
02748	Sárhát	suburb
02749	Kölked	village
02750	Mailáthpuszta	village
02751	Kémes	village
02752	Drávaszerdahely	village
02753	Kovácshida	village
02754	Gordisa	village
02755	Drávaszabolcs	village
02756	Eperjespuszta	farm
02757	Regenye	village
02758	Keselyűs	hamlet
02759	Bögöte	village
02760	Sajtoskál	village
02761	Táborfalva	village
02762	Závod	village
02763	Középbogárd	hamlet
02764	Lajoskomárom	village
02765	Mezőkomárom	village
02766	Szabadhídvég	village
02767	Kisláng	village
02768	Mátyásdomb	village
02769	Dombori	hamlet
02770	Kadafalva	suburb
02771	Volt Vorosilov-laktanya	locality
02772	Homoktető	hamlet
02773	Bugyi	village
02774	Kunbábony	suburb
02775	Apaj	village
02776	Balotaszállás	village
02777	Gárgyán	hamlet
02778	Antalfalu	hamlet
02779	Adorjánpuszta	hamlet
02780	Dióspuszta	hamlet
02781	Bajcsa	suburb
02782	Miklósfa	suburb
02783	Bagola	suburb
02784	Zalaszentjakab	village
02785	Nagyfakos	suburb
02786	Kisfakos	suburb
02787	Horvátkút	hamlet
02788	Szabás	village
02789	Obornak	hamlet
02790	Alsószölnök	village
02791	Rábatótfalu	suburb
02792	Szakonyfalu	village
02793	Kétvölgy	hamlet
02794	Apátistvánfalva	village
02795	Orfalu	village
02796	Farkasfa	village
02797	Ispánk	village
02798	Kisrákos	village
02799	Viszák	village
02800	Csákánydoroszló	village
02801	Gasztony	village
02802	Rábagyarmat	village
02803	Rátót	village
02804	Vasszentmihály	village
02805	Nemesmedves	village
02806	Csörötnek	village
02807	Magyarlak	village
02808	Máriaújfalu	suburb
02809	Rönök	village
02810	Jakabháza	suburb
02811	Daraboshegy	village
02812	Halogy	village
02813	Nádasd	village
02814	Pinkamindszent	village
02815	Szentpéterfa	village
02816	Harasztifalu	village
02817	Nagykölked	village
02818	Rádóckölked	village
02819	Narda	village
02820	Felsőcsatár	village
02821	Vaskeresztes	village
02822	Horvátlövő	village
02823	Pornóapáti	village
02824	Nárai	village
02825	Tiszabecs	village
02826	Kispalád	village
02827	Magosliget	village
02828	Uszka	village
02829	Rozsály	village
02830	Méhtelek	village
02831	Garbolc	village
02832	Nagyhódos	village
02833	Kishódos	village
02834	Zsarolyán	village
02835	Jánkmajtis	village
02836	Csegöld	village
02837	Csengersima	village
02838	Gacsály	village
02839	Zajta	village
02840	Császló	village
02841	Kisnamény	village
02842	Csaholc	village
02843	Mánd	village
02844	Nemesborzova	village
02845	Vámosoroszi	village
02846	Túrricse	village
02847	Tisztaberek	village
02848	Nagyszekeres	village
02849	Kisszekeres	village
02850	Penyige	village
02851	Milota	village
02852	Tiszacsécse	village
02853	Tiszakóród	village
02854	Túristvándi	village
02855	Kömörő	village
02856	Fülesd	village
02857	Kölcse	village
02858	Sonkád	village
02859	Botpalád	village
02860	Nagyar	village
02861	Szatmárcseke	village
02862	Tarpa	village
02863	Tivadar	village
02864	Kisar	village
02865	Gergelyiugornya	suburb
02866	Jánd	village
02867	Gulács	village
02868	Hetefejércse	village
02869	Csaroda	village
02870	Márokpapi	village
02871	Beregsurány	village
02872	Beregdaróc	village
02873	Gelénes	village
02874	Vámosatya	village
02875	Tiszaszalka	village
02876	Tiszavid	village
02877	Tiszaadony	village
02878	Barabás	village
02879	Lónya	village
02880	Mátyus	village
02881	Tiszakerecseny	village
02882	Kisvarsány	village
02883	Nagyvarsány	village
02884	Gyüre	village
02885	Aranyosapáti	village
02886	Tuzsér	village
02887	Tiszamogyorós	village
02888	Mezőladány	village
02889	Újkenéz	village
02890	Benk	village
02891	Zsurk	village
02892	Tiszaszentmárton	village
02893	Tápiógyörgye	village
02894	Tápiószele	town
02895	Tápiószőlős	village
02896	Újszilvás	village
02897	Jászboldogháza	village
02898	Jánoshida	village
02899	Nábrád	village
02900	Kérsemjén	village
02901	Panyola	village
02902	Olcsvaapáti	village
02903	Olcsva	village
02904	Ópályi	village
02905	Nagydobos	village
02906	Szamoskér	village
02907	Szamosszeg	village
02908	Kocsord	village
02909	Győrtelek	village
02910	Géberjén	village
02911	Fülpösdaróc	village
02912	Ököritófülpös	village
02913	Rápolt	village
02914	Hermánszeg	village
02915	Szamossályi	village
02916	Szamosújlak	village
02917	Gyügye	village
02918	Cégénydányád	village
02919	Szamostatárfalva	village
02920	Szamosbecs	village
02921	Komlódtótfalu	village
02922	Tyukod	village
02923	Csengerújfalu	village
02924	Pátyod	village
02925	Porcsalma	village
02926	Szamosangyalos	village
02927	Mérk	village
02928	Fábiánháza	village
02929	Nyírcsaholy	village
02930	Mohács	town
02931	Újmohács	suburb
02932	Búbánatvölgy	suburb
02933	Grăniceri	village
02934	Iratoșu	village
02935	Patacs	suburb
02936	Rácváros	suburb
02937	Ürög	suburb
02938	Jenő	village
02939	Nádasdladány	village
02940	Sárkeszi	village
02941	Bánkút	locality
02942	Perkupa	village
02943	Kemenesmihályfa	village
02944	Kemenessömjén	village
02945	Boba	village
02946	Izsákfa	suburb
02947	Egyházashetye	village
02948	Köcsk	village
02949	Kemeneskápolna	village
02950	Bokodpuszta	farm
02951	Mesteri	village
02952	Vásárosmiske	village
02953	Nemeskocs	village
02954	Alsóság	suburb
02955	Ateaș	village
02956	Voivozi	village
02957	Paloznak	village
02958	Lovas	village
02959	Csacsi-rét	locality
02960	Horea	village
02961	Pordeanu	village
02962	Felsőörs	village
02963	Máriagyűd	suburb
02964	Nagymajor	farm
02965	Ohat	hamlet
02966	Telekháza	hamlet
02967	Félhalom	hamlet
02968	Hont	village
02969	Felsőpakony	village
02970	Alsónémedi	village
02971	Mogyoród	village
02972	Köveskál	village
02973	Kővágóörs	village
02974	Kékkút	village
02975	Salföld	village
02976	Diszel	suburb
02977	Pilisjászfalu	village
02978	Szigetmonostor	village
02979	Tahitótfalu	village
02980	Pócsmegyer	village
02981	Leányfalu	village
02982	Surány	suburb
02983	Csala	suburb
02984	Majosháza	village
02985	Áporka	village
02986	Káptalantóti	village
02987	Gyulakeszi	village
02988	Szentbékkálla	village
02989	Mindszentkálla	village
02990	Poroszló	village
02991	Kovácsszénája	village
02992	Nyírmada	town
02993	Ajkarendek	suburb
02994	Magyarpolány	village
02995	Csolnok XII akna	hamlet
02996	Hasznos	suburb
02997	Rózsaszentmárton	village
02998	Gyöngyöstarján	village
02999	Gyöngyösoroszi	village
03000	Nagyréde	village
03001	Ecséd	village
03002	Petőfibánya	village
03003	Zagyvaszántó	village
03004	Gyöngyöspata	town
03005	Szűcsi	village
03006	Szurdokpüspöki	village
03007	Jobbágyi	village
03008	Monostorapáti	village
03009	Sülysáp	town
03010	Tápiószecső	village
03011	Karakó	village
03012	Jánosháza	town
03013	Sárpentele	hamlet
03014	Némediszőlő	suburb
03015	Hidegkút	village
03016	Pintértelep	suburb
03017	Zselicszentpál	village
03018	Csoronika	suburb
03019	Cserénfa	village
03020	Botfa	suburb
03021	Leányvár	village
03022	Piliscsév	village
03023	Ebergény	suburb
03024	Újpest	suburb
03025	Bratislava	national_capital
03026	Hosťovce	hamlet
03027	Vérteskethely	village
03028	Császár	village
03029	Bokod	village
03030	Sikonda	suburb
03031	Mecsekfalu	suburb
03032	Körtvélyes	suburb
03033	Vágotpuszta	hamlet
03034	Nagykarácsony	village
03035	Szeghalom	town
03036	Pellérd	village
03037	Alap	village
03038	Bakonykúti	village
03039	Balinka	village
03040	Baracs	village
03041	Füle	village
03042	Isztimér	village
03043	Nagyveleg	village
03044	Vajta	village
03045	Igar	village
03046	Daruszentmiklós	village
03047	Kisapostag	village
03048	Nagylók	village
03049	Úrhida	village
03050	Moha	village
03051	Óbarok	village
03052	Atkár	village
03053	Átány	village
03054	Bátor	village
03055	Balaton	village
03056	Bekölce	village
03057	Mikekarácsonyfa	village
03058	Zalamerenye	village
03059	Zalasárszeg	village
03060	Zalaszentbalázs	village
03061	Kálmáncsa	village
03062	Somogyvámos	village
03063	Rábahídvég	village
03064	Tómalom	suburb
03065	Kútfej	hamlet
03066	Tekenye	village
03067	Ötvös	farm
03068	Ecseg	village
03069	Alsótold	village
03070	Kozárd	village
03071	Felsőtold	village
03072	Garáb	village
03073	Hollókő	village
03074	Nagylóc	village
03075	Zsunypuszta	hamlet
03076	Szandaváralja	hamlet
03077	Magyarnándor	village
03078	Cserháthaláp	village
03079	Cserhátsurány	village
03080	Szanda	village
03081	Terény	village
03082	Mohora	village
03083	Nógrádgárdony	hamlet
03084	Csitár	village
03085	Bérbaltavár	village
03086	Kétbodony	village
03087	Szente	village
03088	Debercsény	village
03089	Csehimindszent	village
03090	Mikosszéplak	village
03091	Csehi	village
03092	Csipkerek	village
03093	Felsőpetény	village
03094	Esztergom-Kertváros	suburb
03095	Kisbarát	hamlet
03096	Varsány	village
03097	Rimóc	village
03098	Nógrádsipek	village
03099	Ludányhalászi	village
03100	Nógrádszakál	village
03101	Litke	village
03102	Slovenské Nové Mesto	village
03103	Kiskút	suburb
03104	Keléd	village
03105	Görbehalom	suburb
03106	Inárcs	village
03107	Kakucs	village
03108	Szépasszonyvölgy	suburb
03109	Kiscenk	hamlet
03110	Lapistó	suburb
03111	Tibortelep	hamlet
03112	Lajosszállás	hamlet
03113	Árpádhalom	village
03114	Acsád	village
03115	Vasasszonyfa	village
03116	Salköveskút	village
03117	Vasszilvágy	village
03118	Csepreg	town
03119	Kiszsidány	village
03120	Bükfürdő	suburb
03121	Meszlen	village
03122	Pusztacsó	village
03123	Benkeházmajor	farm
03124	Kőszegpaty	village
03125	Tömörd	village
03126	Kincsédpuszta	farm
03127	Nemescsó	village
03128	Csököly	village
03129	Tiszanána	village
03130	Sarud	village
03131	Újlőrincfalva	village
03132	Kőszegfalva	suburb
03133	Ólmod	village
03134	Tiszaliget	suburb
03135	Becsali	hamlet
03136	Alsókövesd	hamlet
03137	Felsőkövesd	hamlet
03138	Őrimagyarósd	village
03139	Hegyhátszentjakab	village
03140	Uzsabánya	farm
03141	Tabán	suburb
03142	Kemestaródfa	village
03143	Magyarnádalja	village
03144	Halastó	village
03145	Nagymizdó	village
03146	Szarvaskend	village
03147	Magyarszecsőd	village
03148	Telekes	village
03149	Döbörhegy	village
03150	Ivánc	village
03151	Szaknyér	village
03152	Szőce	village
03153	Felsőmarác	village
03154	Sárfimizdó	village
03155	ipari park	suburb
03156	Kondorfa	village
03157	Hegyhátszentmárton	village
03158	Molnaszecsőd	village
03159	Egyházashollós	village
03160	Nemesrempehollós	village
03161	Püspökmolnári	village
03162	Dozmat	village
03163	Bucsu	village
03164	Bozsok	village
03165	Velem	village
03166	Kőszegszerdahely	village
03167	Sorokpolány	village
03168	Torony	village
03169	Sorkikápolna	village
03170	Gyanógeregye	village
03171	Sorkifalud	village
03172	Nemeskolta	village
03173	Táplánszentkereszt	village
03174	Tanakajd	village
03175	Vasszécseny	village
03176	Csempeszkopács	village
03177	Bozzai	village
03178	Nemesbőd	village
03179	Kenéz	village
03180	Perenye	village
03181	Gyöngyösfalu	village
03182	Kőszegdoroszló	village
03183	Lukácsháza	village
03184	Vassurány	village
03185	Tormásliget	village
03186	Lócs	village
03187	Iklanberény	village
03188	Alsóújlak	village
03189	Meggyeskovácsi	village
03190	Pecöl	village
03191	Megyehíd	village
03192	Szeleste	village
03193	Ölbő	village
03194	Pósfa	village
03195	Répceszentgyörgy	village
03196	Hervadtfa	hamlet
03197	Szemenye	village
03198	Hosszúpereszteg	village
03199	Nemeskeresztúr	village
03200	Egervölgy	village
03201	Káld	village
03202	Gérce	village
03203	Vashosszúfalu	village
03204	Duka	village
03205	Borgáta	village
03206	Kamond	village
03207	Nemesládony	village
03208	Nagygeresd	village
03209	Mersevát	village
03210	Szergény	village
03211	Törtel	village
03212	Dabronc	village
03213	Gógánfa	village
03214	Jászkarajenő	village
03215	Zalakoppány	hamlet
03216	Zalaudvarnok	hamlet
03217	Csáford	hamlet
03218	Zalaerdőd	village
03219	Hetyefő	village
03220	Lesencefalu	village
03221	Nemesvita	village
03222	Lesencetomaj	village
03223	Hegymagas	village
03224	Raposka	village
03225	Csépa	village
03226	Badacsonytördemic	village
03227	Nemesgulács	village
03228	Balatonhenye	village
03229	Monoszló	village
03230	Tagyon	village
03231	Szentantalfa	village
03232	Szentjakabfa	village
03233	Balatoncsicsó	village
03234	Óbudavár	village
03235	Mencshely	village
03236	Vöröstó	village
03237	Barnag	village
03238	Nemesvámos	village
03239	Veszprémfajsz	village
03240	Szentkirályszabadja	village
03241	Zalahaláp	village
03242	Csajág	village
03243	Küngös	village
03244	Batida	suburb
03245	Újkishomok	suburb
03246	Szikáncs	suburb
03247	Tiszasas	village
03248	Szelevény	village
03249	Nagyrév	village
03250	Tiszajenő	village
03251	Tiszavárkony	village
03252	Mezőhék	village
03253	Vezseny	village
03254	Rákócziújfalu	village
03255	Mesterszállás	village
03256	Kisunyom	village
03257	Zsennye	village
03258	Megyer	village
03259	Zalameggyes	village
03260	Zalaszegvár	village
03261	Hosztót	village
03262	Bodorfa	village
03263	Kissomlyó	village
03264	Kemenespálfa	village
03265	Nagypirit	village
03266	Külsővat	village
03267	Kiscsősz	village
03268	Somlójenő	village
03269	Somlóvásárhely	village
03270	Somlóvecse	village
03271	Doba	village
03272	Kispirit	village
03273	Csögle	village
03274	Adorjánháza	village
03275	Nemesszalók	village
03276	Kisszőlős	village
03277	Dabrony	village
03278	Nyárád	village
03279	Borszörcsök	village
03280	Oroszi	village
03281	Pápasalamon	village
03282	Marcalgergelyi	village
03283	Vinár	village
03284	Mihályháza	village
03285	Pápadereske	village
03286	Mezőlak	village
03287	Békás	village
03288	Pusztamiske	village
03289	Kolontár	village
03290	Úrkút	village
03291	Litér	village
03292	Ganna	village
03293	Adásztevel	village
03294	Nagytevel	village
03295	Szentgál	village
03296	Csehbánya	village
03297	Farkasgyepű	village
03298	Bánd	village
03299	Homokbödöge	village
03300	Borzavár	village
03301	Porva	village
03302	Bakonyoszlop	village
03303	Sóly	village
03304	Királyszentistván	village
03305	Vilonya	village
